id,text,label
327031890622164993,@MirkoPlsll @IanisRondeau ouais.. un chef d'oeuvre cette femme.. #ironie,0
326796299179548672,@MamzelleMNa Une très humble femme! #Ironie,0
334548844731826176,"BLOGUE - «Tsé, la parité homme-femme...» au sein de Vision Saint-Jérôme http://t.co/26ziyrXSYx #femmes #politique #ironie",0
334424362033762304,Je suis une femme matérialiste et superficielle qui ne juge qu'au physique des gens que des beau goss dans ma team #Ironie,0
421708259716636672,Mise en ligne de mon article sur @PayeTaShnek pour @DeerMag soon ;) #payetashnek #tentativedeseductionenmilieuurbain #buyadeer #reading,0
420942263154249728,Achat du jour : le très bon livre #PayeTaShnek ! Sinon check http://t.co/vsoOcxFezV,0
707088385995890689,Hommage #journeedelafemme Toute sa vie elle a vendu des fleurs dans la rue. Elle a été pauvre aussi bien qu'un homme https://t.co/0mqD4e0dzs,0
955356819324657665,Lustre bois flotté feuilles exotiques bleues abat jour https://t.co/aCBlRgfxvq via @Etsy,0
955363354083766272,Prochain concours avec Emma on se fait des mèches bleues et on se met un petit gloss bleu ça va être splendide 🤣,0
955408486153715713,"#Paradiski c'est quoi ? 400 km de pistes vertes, bleues, rouges, noires et des snowparks pour les plus sportifs. Difficile de s'ennuyer les skis aux pieds ! C'est parti, direction #LaPlagne ! 🎿 https://t.co/LfF5HPyiIs https://t.co/a6jgDtvmE9",0
955367160334946305,Mdrrr et avant  avec les tél chinois ça disait carrément ´´Vivre les dents bleues’´  kxptdrwzxvbdj😂😂😂😂 https://t.co/NHFLbQjF2j,0
955357419147878400,Boucles d'Oreilles Bohèmes Bronze Fleurs Gouttes Bleues https://t.co/oa7xD8N5Rt via @Etsy,0
955380056024649728,"Dans notre Club Alpes d’Azur de @SerreChe_FR on skie, on s’amuse mais surtout on mange bien #chef #food #Vacances https://t.co/Pl8i7V29g2",0
955364522268741632,Collier plume bronze perle en papier artisanale collier perles bleues violettes chaine idée cadeau femme cadeau saint valentin cadeau fait main https://t.co/UxyQEqeFc0,0
954868960905834501,"#VivreEnsemble : Les footballeurs professionnels, de mauvais citoyens   #omerta #Sexisme #Harcèlement @melissa_plaza  @ouestfrance  https://t.co/83xMHR7CVV",0
955000687162781696,#Sexisme dans le #sport : le coup de gueule de @annefloremarxer : championne du monde de snowboard freeride https://t.co/lXWiPpilTg #libérezsaparole,0
954995897087287297,@lau_devil Il en parle aussi dans les @lesinrocks https://t.co/nZ3LVMWsLn #Wikipedia #sexisme,0
955017638438109184,"#sexisme #clichés #Egalité #AccordEgalitéProfessionnelle
La ministre du travail veut ""réaliser le rattrapage salarial femmes-hommes"" - ladepeche.fr https://t.co/PKayWx5Rq9",0
938206714175873024,Crimes sexuels: la police de Québec ouvre 30 nouveaux dossiers et révise des plaintes #moiaussi  https://t.co/u9KJnuCCvK,0
938175951787249666,"Dans le cadre de la levée de fonds, vous aurez la chance de gagner un paquet cadeau de produits de santé-beauté Vegan d'une valeur de 100$ ! Écrivez-nous en privé, on vous donne tous les détails!  #moiaussi #metoo https://t.co/APhEdhdaJZ Le tirage aura lieu le 10 décembre 2017 !",0
938389967486836736,Le Time attribue le titre de personnalité de l'année 2017 à celles qui ont lancé le mouvement #metoo #moiaussi https://t.co/RAvXuFiq3n,0
938182679085961216,#moiaussi  #Metoo dit une ministre de #Trump en plein débat sur le #harcèlement  sexuel https://t.co/ohgIvDLdrN @LOrientLeJour,0
938388997709221890,"Oh, les personnalités de l’année selon Time: celles dont les voix ont lancé le mouvement #MoiAussi #MeToo https://t.co/KfLJqUcm6J",0
986489352514691072,j’ai bien l’air conne avec mon coup de soleil sur le nez 👍🏻,0
986516637728813056,Votre pote @johanna_plenus qui m’appelle à 8h alors qu’on commence à 10h dites lui d’être moins conne s’il vous plaît 😫,0
986626598748262400,"Par contre cette année je ne ferai pas la conne , j’irai acheter mon ventilateur très tôt ✌🏾",0
915928687589150722,"VIDEO. Racisme en politique : la colère de Christiane Taubira dans ""Complément d'enquête"" https://t.co/FgkG5FAW2z https://t.co/ewSj2NpLyw",0
916212409748115458,"Video: Enervée par des propos racistes, Christiane Taubira met fin à l'interview de Compléments d'enquete
 https://t.co/eMbge7XsBx https://t.co/nzqyDjbm2d",0
